,Unnamed: 0,cdc_post_id,created_at,comment_id,lang,text,period
2924,2927,1.2388410612770406e+18,Sat Mar 14 23:20:43 +0000 2020,1.2389683285316076e+18,en,@CDCgov Can you please put more emphasis on the number of people under 60 with health issues that have been effected by this. There is very little focus younger people with immune issues and children with health issues. People seem to think it's only an issue with the elderly.,period_1
1210,1210,1.557099396654719e+18,Thu Aug 11 12:12:22 +0000 2022,1.557701458132439e+18,en,@CDCgov “can help”,period_3
2577,2580,1.4226250708376044e+18,Fri Aug 06 14:32:54 +0000 2021,1.4236533120591217e+18,en,"@CDCgov Low-spread areas become high-spread areas because guidance says they don't need preventive controls until week-old data about another-week-old symptoms reveal that it was time to mask up 2 weeks ago.

Don't just stand there. Stay ahead of Delta.
#WearAMask
https://t.co/zPebLv0jE9",period_2
1752,1753,1.5821066969266668e+18,Tue Oct 18 14:44:37 +0000 2022,1.5823821450491986e+18,en,@CDCgov Hell to the no. Me and my family are staying pureblooded,period_3
1095,1095,1.569355240100569e+18,Mon Sep 12 17:08:11 +0000 2022,1.5693723119036662e+18,en,@CDCgov RIP Kimberley Kitching. Fully vaccinated and fully dead. https://t.co/6DXy90a4Z4,period_3
2615,2618,1.4226250708376044e+18,Thu Aug 05 21:12:57 +0000 2021,1.4233916016913326e+18,en,@CDCgov Or stay home,period_2
1720,1721,1.5821066969266668e+18,Tue Oct 18 18:49:05 +0000 2022,1.582443667188392e+18,qme,@CDCgov #stopthecdc,period_3
298,298,1.5831573853795287e+18,Thu Oct 20 18:34:44 +0000 2022,1.583164831682601e+18,qme,@CDCgov @CDCMMWR https://t.co/qxn6epLWXv,period_3
912,912,1.5339060751954248e+18,Tue Jun 07 00:08:26 +0000 2022,1.5339640593342874e+18,en,@CDCgov No thanks,period_3
2529,2532,1.4545378468454769e+18,Sat Oct 30 20:41:59 +0000 2021,1.4545491645372867e+18,en,@CDCgov 2019 only 2 years ago. It would be illegal to wear a mask into businesses.,period_2
296,296,1.5831573853795287e+18,Thu Oct 20 19:19:02 +0000 2022,1.5831759811286508e+18,en,"@CDCgov @CDCMMWR You are nothing but fraudsters supporting big pharma for your own pockets. 
You have lost all respect you had.",period_3
2481,2483,1.4545378468454769e+18,Sun Oct 31 06:16:27 +0000 2021,1.4546937321130598e+18,en,"@CDCgov You come back with this bs, while hospitals always required masks. You know damn well masks are effective when the SOURCE is masked also. You and your politicians had your fun with Delta in schools. No one else to blame, you know Infection Control. You threw us to the retards.",period_2
1188,1188,1.557099396654719e+18,Thu Aug 11 13:15:06 +0000 2022,1.5577172421834056e+18,en,@CDCgov “Can” doing some very very heavy lifting here… https://t.co/xCVk8JCdbl,period_3
893,893,1.6063673107924992e+18,Sun Dec 25 03:16:25 +0000 2022,1.6068513304794276e+18,en,"@CDCgov Terrible Meme. Yes, the flu can be bad &amp; so can the shot...which U don't bother to mention. People get the flu shot &amp; still catch the flu. Another vac I think doesn't work. At the least give people honest data about flu shot,not the PharmaData,so they can make informed decision.",period_3
3864,3869,1.2501281852298936e+18,Thu Apr 23 16:43:42 +0000 2020,1.2533639337730417e+18,en,@CDCgov @casey2513 Major overreaction! Prominent Israeli professor argues crisis will have far more damage by panic than virus. It didn’t matter whether a country pursued severe lockdown policy like Israel or mostly business-as-usual like Sweden IT FOLLOWED THE SAME PATTERN https://t.co/qUceqL090s,period_1
1003,1003,1.5339060751954248e+18,Tue Jun 07 13:49:05 +0000 2022,1.5341705851981087e+18,en,@CDCgov The Covid vaccines have done a tremendous job at slowing the spread.,period_3
2592,2595,1.4226250708376044e+18,Tue Aug 03 18:29:08 +0000 2021,1.4226255971890831e+18,en,@CDCgov You Must consider wearing a mask.,period_2
3281,3284,1.2429150420493517e+18,Tue Mar 31 22:11:22 +0000 2020,1.2451114712619008e+18,in,"@CDCgov MASK,MASK,MASK https://t.co/AWfweCH1vk",period_1
3150,3153,1.2961916299681874e+18,Wed Aug 26 17:02:13 +0000 2020,1.298667076010365e+18,en,@CDCgov YOU recommend..dont get tested unless you're showing symptoms...since 30% of cases are asymptomatic....that means testing goes down by 30% so yall can make it seem all better ....untill the deaths don't go down that is,period_1
109,109,1.4821288702875443e+18,Sat Jan 15 06:13:07 +0000 2022,1.482234370496729e+18,qme,@CDCgov https://t.co/zEFigh7Yty,period_3
1864,1866,1.491849512893268e+18,Sat Feb 12 02:57:52 +0000 2022,1.4923320964964884e+18,fr,@CDCgov moi j'ai vacciné mais je suis tombeé malade,period_3
3182,3185,1.336785273548632e+18,Wed Dec 09 21:48:06 +0000 2020,1.3367897447480115e+18,en,@CDCgov Part 2 https://t.co/8av4dyvJPi,period_1
2268,2270,1.4233468327307387e+18,Fri Aug 06 13:48:18 +0000 2021,1.423642089313669e+18,en,@CDCgov Delta-variation is a farce,period_2
3576,3580,1.2987289897968271e+18,Sun Aug 30 04:28:46 +0000 2020,1.299927013420159e+18,en,@CDCgov Why do my lungs taste like burnt styrofoam?😏,period_1
96,96,1.4821288702875443e+18,Tue Jan 25 11:27:19 +0000 2022,1.4859373217153802e+18,en,@CDCgov No - you literally help no one except Pharma and their cronies in the bureaucracy. Masks and Vax do not stop infection or transmission. Your “keep yourself and others safe” narrative is false. Stop it.,period_3
1626,1627,1.5821066969266668e+18,Tue Oct 18 12:05:44 +0000 2022,1.582342159734575e+18,en,"@CDCgov 12 School Aged children have died with COVID in Los Angeles.

36 children, from birth to 17, have died with COVID in New York City.

Is that a Pediatric Medical Emergency? https://t.co/fgOLvme3gI",period_3
999,999,1.5339060751954248e+18,Tue Jun 07 03:42:07 +0000 2022,1.5340178344849613e+18,en,@CDCgov Bunch of https://t.co/NiUEEUElYw,period_3
3775,3780,1.3411372210684682e+18,Mon Dec 21 23:53:22 +0000 2020,1.3411699258015785e+18,qme,@CDCgov @Kriseman #MaskUp https://t.co/yrUiSLJiwq,period_1
1474,1474,1.5980487464110694e+18,Wed Nov 30 20:32:04 +0000 2022,1.598052264467366e+18,en,"@CDCgov Protection was similar against Omicron BA.1 compared to BA.2 infection after previous infection, primary and booster vaccination.  

https://t.co/x3AYuQ5xI5",period_3
2979,2982,1.2454639607128105e+18,Mon Apr 06 04:15:15 +0000 2020,1.2470149862342124e+18,en,"@CDCgov specialists, journalists, police, firefighters, paramedics, nurses and ordinary people who are interviewed in the different news at all times. I fully understand the President of the country and his terrible concern for the economy, I quote",period_1
1835,1837,1.492528962932781e+18,Sun Feb 13 01:56:52 +0000 2022,1.4926791313303306e+18,en,"@CDCgov Unmask all children right now! Shame on all of you for failing every student in the last 2 years. You are a disgrace.

https://t.co/MFcTDmrV1z",period_3
179,179,1.481333160218669e+18,Thu Jan 13 14:47:34 +0000 2022,1.481639059806204e+18,en,@CDCgov Misinformation?  🤡,period_3
1765,1766,1.5821066969266668e+18,Wed Oct 19 05:12:34 +0000 2022,1.5826005734418883e+18,en,@CDCgov Stop these jokers from hurting kids! https://t.co/iBW7akJ6KC,period_3
1157,1157,1.557099396654719e+18,Thu Aug 11 09:49:07 +0000 2022,1.5576654080518226e+18,en,@CDCgov Take a look at Denmark or Sweden and then try to justify this.,period_3
2392,2394,1.4629056953769206e+18,Mon Nov 29 21:57:56 +0000 2021,1.4654399115788534e+18,en,@CDCgov I’d rather eat glass.,period_2
3670,3674,1.2530852851618038e+18,Sat Apr 25 21:03:55 +0000 2020,1.2541541945939067e+18,et,@CDCgov @realDonaldTrump VITAMIN D,period_1
897,897,1.6063673107924992e+18,Sat Dec 24 05:57:12 +0000 2022,1.6065294039951852e+18,en,@CDCgov All Lies. CDC needs to eliminated.  That's the first thing to go. Nothing but a propaganda machine.,period_3
3078,3081,1.2961916299681874e+18,Wed Aug 26 14:22:51 +0000 2020,1.2986269695427625e+18,en,"@CDCgov ""Overly affected""???
Why?  Because these groups are NOT following CDC guidelines??",period_1
2147,2149,1.3599815523614966e+18,Sun Feb 14 13:06:08 +0000 2021,1.3609383762334392e+18,qme,@CDCgov 😂😂🤦‍♂️,period_2
3015,3018,1.2454639607128105e+18,Sat Apr 04 15:04:22 +0000 2020,1.2464535648867123e+18,en,"@CDCgov If #CV19 happened before age of internet, there'd be no lockdowns and decimation of economies; it's a fake media pandemic. Don't start about deaths, which are sad, but are actually overlapping average daily deaths, because 95% CV19 dead have serious underlying conditions.",period_1
564,564,1.486021122089005e+18,Thu Jan 27 02:19:11 +0000 2022,1.4865241539225723e+18,qme,@CDCgov #IchooseCOVAXIN #fdaremovethehold,period_3
1871,1873,1.491849512893268e+18,Thu Feb 24 19:47:01 +0000 2022,1.496934710534017e+18,en,@CDCgov Yea then why the Hell did my son get COVID??!!!!,period_3
4043,4048,1.3414647835944018e+18,Tue Dec 22 23:29:00 +0000 2020,1.3415261827439575e+18,en,@CDCgov No one wants to listen to you!,period_1
2664,2667,1.4226250708376044e+18,Wed Aug 04 16:22:23 +0000 2021,1.422956089805525e+18,en,"@CDCgov To all the #antivaxxers who oppose proof of vaccine; talk to any patron who has to sho ID to enter a bar, buy alcohol, enter a restricted area, travel, buy cigarettes, etc. 
Get the #CovidVaccine",period_2
4025,4030,1.3414647835944018e+18,Tue Dec 22 23:49:28 +0000 2020,1.3415313333283308e+18,en,@CDCgov Pound sand. Take your masks and shove them.,period_1
494,494,1.4983875360323994e+18,Sun Jun 11 12:17:47 +0000 2023,1.6678687297769308e+18,en,"@CDCgov You are mass mur,der,s",period_3
457,457,1.4983875360323994e+18,Tue Jun 13 18:38:45 +0000 2023,1.6686893811236536e+18,en,@CDCgov Liars!,period_3
