text,clean_text
@CDCgov You’re a tad late with this information.,youre a tad late with this information
"@CDCgov We've blown it for 2 years, but believe us THIS time!",weve blown it for years but believe us this time
@CDCgov TWO FUKEN YEARS!!! 🤦🏻‍♂️,two fuken years
@CDCgov I'm done with the freaking masks..I got vaccinated..I got boostered..done..,im done with the freaking masksi got vaccinatedi got boostereddone
@CDCgov And ventilation? At the workplace nobody wants to acknowledge it’s airborne,and ventilation at the workplace nobody wants to acknowledge its airborne
@CDCgov My best fit and comfort is no mask. Thanks CDC!,my best fit and comfort is no mask thanks cdc
"@CDCgov IMHO I'll add:
👉Ventilation
👉Air filtration",imho ill add ventilation air filtration
"@CDCgov Cool story, so send us free ones yesterday.",cool story so send us free ones yesterday
"@CDCgov Dammit. All I have are cloth masks. I've only got COVID once, because my dumbass sister didn't tell me she'd been exposed. Vaxxed and boosted, but only have cloth masks. Are the 'best' masks free? Y'all gonna give them to us? Sigh.",dammit all i have are cloth masks ive only got covid once because my dumbass sister didnt tell me shed been exposed vaxxed and boosted but only have cloth masks are the best masks free yall gonna give them to us sigh
"@CDCgov What about mask braces? 
https://t.co/FY7VnBFePy",what about mask braces
"@CDCgov I’m in Vegas, huge spike…and you are allowed to remove your mask in crowded casinos to smoke or vape &amp; blow smoke to your hearts content. Indoors. Now explain “health, science and safety” to me again as it relates to this practice? When I get a coherent health answer, I’ll bow.",im in vegas huge spikeand you are allowed to remove your mask in crowded casinos to smoke or vape amp blow smoke to your hearts content indoors now explain health science and safety to me again as it relates to this practice when i get a coherent health answer ill bow
"@CDCgov Been vaccinated and boosted, still tested positive for omicron. Apparently this covid stuff is never going away...",been vaccinated and boosted still tested positive for omicron apparently this covid stuff is never going away
@CDCgov Here’s a fantastic idea:,heres a fantastic idea
@CDCgov Thank you for following the science and updating the guidance! https://t.co/3jrqjpnSpx,thank you for following the science and updating the guidance
"@CDCgov What's this about comfort?  You barely improved the message.
Covid is airborne. Only N95s (or higher) provide the necessary protection, unless you are meeting someone briefly outdoors. https://t.co/G3Na2eYjJe",whats this about comfort you barely improved the message covid is airborne only ns or higher provide the necessary protection unless you are meeting someone briefly outdoors
@CDCgov Good to get the right masking messages out. But how about better ventilation and air filtration? Not wanting to push businesses and govts to do their fair share to fight this pandemic?,good to get the right masking messages out but how about better ventilation and air filtration not wanting to push businesses and govts to do their fair share to fight this pandemic
@CDCgov Better two years late than never.  Still not perfect but better,better two years late than never still not perfect but better
@CDCgov You have no substantial data so just don’t say this and expect people to listen because you don’t back it up and you are wrong!,you have no substantial data so just dont say this and expect people to listen because you dont back it up and you are wrong
@CDCgov N95 masks are best by far. https://t.co/ZkKMCOVGqy,n masks are best by far
@CDCgov Bernie wants us all to have the good ones,bernie wants us all to have the good ones
"""wear the most protective mask you can that fits well and that you will wear consistently""

FINALLY @CDCgov
https://t.co/FJT53cRssy",wear the most protective mask you can that fits well and that you will wear consistently finally
@CDCgov Took you long enough,took you long enough
@CDCgov How many boosters?  I hear they are dropping off faster and faster?  Will they be down to six weeks or so after the 4th or 5th?,how many boosters i hear they are dropping off faster and faster will they be down to six weeks or so after the th or th
@CDCgov Fixed https://t.co/T49TLjVcBT,fixed
@CDCgov @joshtpm There’s a 5th option. https://t.co/qaTL5N69Wh,theres a th option
@CDCgov When they shut down the southern border then maybe all this bs will make sense?,when they shut down the southern border then maybe all this bs will make sense
@CDCgov Be clear that cloth masks should be set aside at this point in favor of better masks.,be clear that cloth masks should be set aside at this point in favor of better masks
@CDCgov Are you sure this time? Because you seem to keep changing your guidance.,are you sure this time because you seem to keep changing your guidance
@CDCgov Or you could just live your life normally and not catch it either,or you could just live your life normally and not catch it either
@CDCgov Tell me where one can buy 3M 1860 N 95s. … should be made available to everyone!,tell me where one can buy m n s should be made available to everyone
@CDCgov Stop it with the lies!,stop it with the lies
"@CDCgov How does it make sense to ONLY be relying on vaccines, which take at least 4 wks, and boosters, which only happen 6 months after the initial 4 wks, when the pandemic is raging NOW? When people are getting sick and dying and going broke NOW? Fucking do something!!!",how does it make sense to only be relying on vaccines which take at least wks and boosters which only happen months after the initial wks when the pandemic is raging now when people are getting sick and dying and going broke now fucking do something
@CDCgov Rubbish.  Masks do nothing.,rubbish masks do nothing
@CDCgov You should be well aware how masks work. You're only protected from those who wear an appropriate mask from spreading the virus. All who don't wear a mask can continue to spread the virus that can penetrate an improperly fitted inadequately filtered mask. https://t.co/WjkuYZ1MeU,you should be well aware how masks work youre only protected from those who wear an appropriate mask from spreading the virus all who dont wear a mask can continue to spread the virus that can penetrate an improperly fitted inadequately filtered mask
"@CDCgov Just a little while ago you guys were telling people to make their own masks at home. You are like yoyos in mid air. Anyone listening to you must be two slices short of a loaf, or the elevator must not be going all the way to the top.",just a little while ago you guys were telling people to make their own masks at home you are like yoyos in mid air anyone listening to you must be two slices short of a loaf or the elevator must not be going all the way to the top
